,Scenario Number (within session) ,"Scenario Type                   (REMEMBER: 7 positive, 2 resilience, 1 negative) ",Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,HD photo name,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,PD photo name,Letters Missing
1,1,Positive,Work/Career Development,,,Mistakes while working,"Even though you normally excel at your job, you recently had a rough week at work. Specifically, you made a couple of mistakes on an important project. When you think about the future, you think it is likely that your job is secure.",N/A,"In the upcoming weeks at work, you will probably...",Learn new skills,Lose your job,https://drive.google.com/file/d/1agACToHkWhDmNIHThNfXgoaZQzoBzUw1/view?usp=drive_link,1.jpg,"Even though you normally excel at your job, you recently had a rough week at work. Specifically, you made a couple of mistakes on an important project. When you think about the future, you think it is likely that your job is secure.",N/A,"In the upcoming weeks at work, you will probably...",Learn new skills,Lose your job,https://drive.google.com/file/d/1agACToHkWhDmNIHThNfXgoaZQzoBzUw1/view?usp=drive_link,1.jpg,1
,2,Positive,Work/Career Development,,,Group Project Due,"You are working on an important team project, and the project deadline is soon. Your colleagues still haven't completed their portion, and you wonder if you should complete it. You reach out about your concerns regarding the deadline, and they begin to work faster.",N/A,Your colleagues are likely...,Grateful that you politely communicated your concerns,Annoyed that you're telling them what to do,https://drive.google.com/file/d/1ZodO1F5ZuiDVjiFxjsv5k2GCuLpQwIRf/view?usp=sharing,2.jpg,"You are working on an important team project, and the project deadline is soon. Your colleagues still haven't completed their portion, and you wonder if you should complete it. You reach out about your concerns regarding the deadline, and they begin to work faster.",N/A,Your colleagues are likely...,Grateful that you politely communicated your concerns,Annoyed that you're telling them what to do,https://drive.google.com/file/d/1ZodO1F5ZuiDVjiFxjsv5k2GCuLpQwIRf/view?usp=sharing,2.jpg,1
,3,Resilience/Negation,Work/Career Development,,,New opportunity,You are at work and find out that there is an opportunity for a job promotion. You think you might be eligible and decide to ask your boss for more details. Your boss explains why your application will likely be rejected.,"After bumping into your boss the next day, you realize your boss just thinks you may not be ready for promotion quite yet. They strongly believe you are capable of being ready for one next year and that you are likely to succeed.",Your boss thinks you shouldn't apply for a promotion now because...,You will be ready for one next year,You will never be capable,https://drive.google.com/file/d/1OpOhL2p65K4b_HCgRQpLm16ZlkzUCe2s/view?usp=sharing,3.jpg,You are at work and find out that there is an opportunity for a job promotion. You think you might be eligible and decide to ask your boss for more details. Your boss explains why your application will likely be rejected.,"After bumping into your boss the next day, you realize your boss just thinks you may not be ready for promotion quite yet. They strongly believe you are capable of being ready for one next year and that you are likely to succeed.",Your boss thinks you shouldn't apply for a promotion now because...,You will be ready for one next year,You will never be capable,https://drive.google.com/file/d/1OpOhL2p65K4b_HCgRQpLm16ZlkzUCe2s/view?usp=sharing,3.jpg,1
,4,Positive,Work/Career Development,,,Deleted section,"You recently turned in a big project at work. You decide to reread your submitted work and realize that you accidentally deleted a section you meant to include. Despite this, you think that you are likely to receive positive feedback.",N/A,Are you going to get positive feedback on your project?,Yes,No,https://drive.google.com/file/d/1Yt4G6HZMK_t-ihnEQ6iXy7znjFBPDG8C/view?usp=sharing,4.jpg,"You recently turned in a big project at work. You decide to reread your submitted work and realize that you accidentally deleted a section you meant to include. Despite this, you think that you are likely to receive positive feedback.",N/A,Are you going to get positive feedback on your project?,Yes,,https://drive.google.com/file/d/1Yt4G6HZMK_t-ihnEQ6iXy7znjFBPDG8C/view?usp=sharing,4.jpg,1
,5,Positive,Work/Career Development,,,Public speaking,"You are about to give a presentation to your supervisor and coworkers. The material in the presentation has come from the research you have done in your job. During the presentation, you feel that your supervisor and coworkers will think you seem smart.",N/A,Will others think you seem intelligent when presenting?,Yes,No,https://drive.google.com/file/d/1un3NKc9Sb0zVmL2t-X9oQ68FQeyI49D6/view?usp=sharing,5.jpg,"You are about to give a presentation to your supervisor and coworkers. The material in the presentation has come from the research you have done in your job. During the presentation, you feel that your supervisor and coworkers will think you seem smart.",N/A,Will others think you seem intelligent when presenting?,Yes,,https://drive.google.com/file/d/1un3NKc9Sb0zVmL2t-X9oQ68FQeyI49D6/view?usp=sharing,5.jpg,1
,6,Resilience/Negation,Work/Career Development,Social Situations,,Feedback on your work,"You recently turned in a report, and your boss asks to see you about your work. As you walk into their office, they tell you to sit down because there's lots of feedback to go through. They look at you with a frown.","During the meeting, you realize that your boss is taking great care to give you useful feedback. They see this as a way to provide you with a valuable learning opportunity.",Your boss probably thinks that...,You have great potential,You are incapable,https://drive.google.com/file/d/1LeCW8Zaw5qO3kfJKG0mZmeeHjw8dApHc/view?usp=sharing,6.jpg,"You recently turned in a report, and your boss asks to see you about your work. As you walk into their office, they tell you to sit down because there's lots of feedback to go through. They look at you with a frown.","During the meeting, you realize that your boss is taking great care to give you useful feedback. They see this as a way to provide you with a valuable learning opportunity.",Your boss probably thinks that...,You have great potential,You are incapable,https://drive.google.com/file/d/1LeCW8Zaw5qO3kfJKG0mZmeeHjw8dApHc/view?usp=sharing,6.jpg,1
,7,Positive,Work/Career Development,Social Situations,,An engaged audience,"You are required to give a presentation to a group of work colleagues that you know well. They are all quiet during your presentation. As you think about it later at home, you think that your colleagues found your presentation interesting.",N/A,Your coworkers were probably quiet because...,They were engaged by your presentation,They were bored by your presentation,https://drive.google.com/file/d/12S8nfxTZe8xGCPO8jz-sGM6I1c8zCe1q/view?usp=sharing,7.jpg,"You are required to give a presentation to a group of work colleagues that you know well. They are all quiet during your presentation. As you think about it later at home, you think that your colleagues found your presentation interesting.",N/A,Your coworkers were probably quiet because...,They were engaged by your presentation,They were bored by your presentation,https://drive.google.com/file/d/12S8nfxTZe8xGCPO8jz-sGM6I1c8zCe1q/view?usp=sharing,7.jpg,1
,8,Positive,Work/Career Development,,,Writing opinions,"Your supervisor asks you to write a report. The finished document is quite brief but took a lot of time and effort. Based on your writing, you expect your supervisor's opinion of you will be positive.",N/A,Your supervisor probably found you to be...,Capable,Incapable,https://drive.google.com/file/d/1Zwj-98ezSg12UdfsYVfxCdgM2a2O6XHw/view?usp=sharing,8.jpg,"Your supervisor asks you to write a report. The finished document is quite brief but took a lot of time and effort. Based on your writing, you expect your supervisor's opinion of you will be positive.",N/A,Your supervisor probably found you to be...,Capable,Incapable,https://drive.google.com/file/d/1Zwj-98ezSg12UdfsYVfxCdgM2a2O6XHw/view?usp=sharing,8.jpg,1
,9,Negative,Work/Career Development,Social Situations,,Showcasing your experience,"Your supervisor calls a meeting tied to a new initiative and asks each of you in turn to present your ideas and prior experience. When it is your turn to speak, you pause frequently. As you reflect on the meeting later in the day, you feel that the supervisor thought you sounded silly.",N/A,Your supervisor probably found you to be ...,Unprepared and lacking. ,Effective,https://drive.google.com/file/d/1npkE7h685FSS9kM33IyEeOyngro5KOvm/view?usp=sharing,9.jpg,"Your supervisor calls a meeting tied to a new initiative and asks each of you in turn to present your ideas and prior experience. When it is your turn to speak, you pause frequently. As you reflect on the meeting later in the day, you feel that the supervisor thought you sounded silly.",N/A,Your supervisor probably found you to be ...,Unprepared and lacking. ,Effective,https://drive.google.com/file/d/1npkE7h685FSS9kM33IyEeOyngro5KOvm/view?usp=sharing,9.jpg,1
,10,Positive,Work/Career Development,,,Certainty of being correct,"You are having an intellectual discussion with your colleague. On one of the questions they ask you, you are 90% certain that you know the correct answer. When you respond, you feel confident.",N/A,Are you uneasy about your answer?,No,Yes,https://drive.google.com/file/d/1nVCrQvzsMF5KCRUZMiYr0rakkwQqslrO/view?usp=sharing,10.jpg,"You are having an intellectual discussion with your colleague. On one of the questions they ask you, you are 90% certain that you know the correct answer. When you respond, you feel confident.",N/A,Are you uneasy about your answer?,No,,https://drive.google.com/file/d/1nVCrQvzsMF5KCRUZMiYr0rakkwQqslrO/view?usp=sharing,10.jpg,1
2,1,Positive,Work/Career Development,Social Situations,,Important evaluation,You have almost completed an important project. Part of your evaluation is determined by your coworkers. You know most of them well and feel that their opinions of you will make them evaluate you favorably.,N/A,Your coworkers will probably...,Give you a good score,Give you a bad score,https://drive.google.com/file/d/1FcB5CvXNaJdV8qJE0nz1NN6MVKPtk2zJ/view?usp=sharing,11.jpg,You have almost completed an important project. Part of your evaluation is determined by your coworkers. You know most of them well and feel that their opinions of you will make them evaluate you favorably.,N/A,Your coworkers will probably...,Give you a good score,Give you a bad score,https://drive.google.com/file/d/1FcB5CvXNaJdV8qJE0nz1NN6MVKPtk2zJ/view?usp=sharing,11.jpg,1
,2,Positive,Work/Career Development,,,Interview anticipation,"You are being interviewed for a leadership position within your department. Before you walk into the room, you notice you feel shaky. You feel incredibly excited.",N/A,Does feeling shaky frighten you?,No,Yes,https://drive.google.com/file/d/1No3R7ItN8sCZWVE76oQA483ECW65wV2l/view?usp=sharing,12.jpg,"You are being interviewed for a leadership position within your department. Before you walk into the room, you notice you feel shaky. You feel incredibly excited.",N/A,Does feeling shaky frighten you?,No,,https://drive.google.com/file/d/1No3R7ItN8sCZWVE76oQA483ECW65wV2l/view?usp=sharing,12.jpg,1
