Session,Page,Position,Timing,Text,Spanish
<4,Lemon,After,"First 2-3 sessions, after the page introducing the lemon exercise (in HTC: participants will be shown an abbreviated version of the Lemon Exercise prior to beginning their CBM training sessions. Specifically, they will be shown a photo of a lemon with text reminding them: “Really try to imagine yourself in the upcoming situations as vividly as possible!”) ", wondering_lemon.jpg,
1,Scenario 1,After,After first comprehenstion question (question right after the actual story/scenario itself) in Session 1 (AKA right before scenario 2 starts)  ,"Remember to answer this question based on the ending of the story you just read, not how you think it would end. This will help reinforce more flexible thinking! ","Recuerda responder esta pregunta basándote en el final de la historia que acabas de leer, no en cómo crees que terminaría. ¡Esto ayudará a reforzar un pensamiento más flexible!"
1,First Negative,After,First negative scenario in Session 1,"In the real world, sometimes things don't go well. It's important to have some stories that end negatively to teach you to manage your anxiety when negative situations arise! ","En el mundo real, a veces las cosas no van bien. ¡Es importante tener algunas historias que terminen negativamente para enseñarte a manejar tu ansiedad cuando surgen situaciones negativas!"
1,Scenario 5,After,After 5 scenarios in Session 1,"Why are you filling in words with letters? By repeatedly filling in missing letters to complete positive, neutral, or negative words, the brain engages in flexible thinking patterns to reduce rigid thinking. ","¿Por qué estás completando palabras con letras? Al completar repetidamente las letras que faltan para completar palabras positivas, neutrales o negativas, el cerebro adopta patrones de pensamiento flexibles para reducir el pensamiento rígido."
2,Scenario 1,Before,Beginning of Session 2,"The more you immerse yourself in the story, the more likely you are to benefit from our program – really picture yourself in the situation at hand.","Cuanto más te sumerjas en la historia, más probabilidades tendrás de beneficiarte de nuestro programa; imagínate realmente en la situación actual."
2,Scenario 2,Before,After first comprehenstion question (question right after the actual story/scenario itself) in Session 2 (AKA right before scenario 2 starts)  ,"Remember to answer this question based on the ending of the story you just read, not how you think it would end. This will help reinforce more flexible thinking! ","Recuerda responder esta pregunta basándote en el final de la historia que acabas de leer, no en cómo crees que terminaría. ¡Esto ayudará a reforzar un pensamiento más flexible!"
2,Scenario 5,After,After 5 scenarios in Session 2,wondering_training.png,
2,Scenario 10,After,At the end of session 2,"Remember, the more you practice thinking about situations in new ways on our app, the more you'll be able to think positively about scary situations in your life!","Recuerde, cuanto más practique pensar en situaciones de nuevas maneras en nuestra aplicación, podras pensar positivamente sobre situaciones aterradoras en tu vida."
3,Scenario 1,After,After first comprehenstion question (question right after the actual story/scenario itself) in Session 3 (AKA right before scenario 2 starts)  ,"Remember to answer this question based on the ending of the story you just read, not how you think it would end. This will help reinforce more flexible thinking! ","Recuerda responder esta pregunta basándote en el final de la historia que acabas de leer, no en cómo crees que terminaría. ¡Esto ayudará a reforzar un pensamiento más flexible!"
3,First Negative,After,First negative scenario in Session 3,"In the real world, sometimes things don't go well. It's important to have some stories that end negatively to teach you to manage your anxiety when negative situations arise! ","En el mundo real, a veces las cosas no van bien. ¡Es importante tener algunas historias que terminen negativamente para enseñarte a manejar tu ansiedad cuando surgen situaciones negativas!"
3,Scenario 5,After,After 5 scenarios in Session 3,"The more you immerse yourself in the story, the more likely you are to benefit from our program – really picture yourself in the situation at hand.","Cuanto más te sumerjas en la historia, más probabilidades tendrás de beneficiarte de nuestro programa; imagínate realmente en la situación actual."
4,Scenario 5,After,After 5 scenarios in Session 4,"Why are you filling in words with letters? By repeatedly filling in missing letters to complete positive, neutral, or negative words, the brain engages in flexible thinking patterns to reduce rigid thinking. ","¿Por qué estás completando palabras con letras? Al completar repetidamente las letras que faltan para completar palabras positivas, neutrales o negativas, el cerebro adopta patrones de pensamiento flexibles para reducir el pensamiento rígido."
5,Scenario 5,After,After 5 scenarios in Session 5,"Sometimes, situations aren't just good or bad. Neutral situations remind us that it's okay to embrace the grey zone!","A veces, las situaciones no son sólo buenas o malas. ¡Las situaciones neutrales nos recuerdan que está bien abrazar la zona gris!"
5,Scenario 10,After,At the end of session 5,wondering_training.png,
6,First Negative,After,First negative scenario in session 6,"In the real world, sometimes things don't go well. It's important to have some stories that end negatively to teach you to manage your anxiety when negative situations arise! ","En el mundo real, a veces las cosas no van bien. ¡Es importante tener algunas historias que terminen negativamente para enseñarte a manejar tu ansiedad cuando surgen situaciones negativas!"
6,Scenario 5,After,After 5 scenarios in Session 6,These stories are designed to mirror everyday situations you may face. Picture yourself in these situations and consider how you can apply these thoughts to your daily life!,Estas historias están diseñadas para reflejar situaciones cotidianas que puedas enfrentar. ¡Imagínate en estas situaciones y considere cómo puedes aplicar estos pensamientos a tu vida diaria!
7,Scenario 5,After,After 5 scenarios in Session 7,Every small shift in perspective leads to bigger changes over time. Keep going—you're training your brain to think in more balanced and helpful ways!,Cada pequeño cambio de perspectiva conduce a cambios mayores con el tiempo. Continúe: ¡estás entrenando tu cerebro para pensar de manera más equilibrada y útil!
8,Scenario 5,After,After 5 scenarios in Session 8,"Just like a muscle, your brain strengthens the pathways it uses the most. That's why practicing lots of situations helps you change your thinking habits. ","Al igual que un músculo, tu cerebro fortalece las vías que más utiliza. Por eso practicar muchas situaciones te ayuda a cambiar tus hábitos de pensamiento."
9,Scenario 5,After,After 5 scenarios in Session 9,"MindTrails provides you with the courage to face uncertain situations, giving you the confidence to approach them in real life. ","MindTrails te brinda el coraje para enfrentar situaciones inciertas, brindándote la confianza para abordarlas en la vida real."
10,Scenario 5,After,After 5 scenarios in Session 10,"Remember, MindTrails not only changes your perspective about the situations you're reading here, but your perspective in real life! ","Recuerda, MindTrails no solo cambia tu perspectiva sobre las situaciones que estás leyendo aquí, ¡sino también tu perspectiva en la vida real!"
11,Scenario 5,After,After 5 scenarios in session 11,wondering_training.png,
12,Scenario 10,After,At the end of session 12,"Remember, the more you practice thinking about situations in new ways on our app, the more you'll be able to think positively about scary situations in your life!","Recuerde, cuanto más practique pensar en situaciones de nuevas maneras en nuestra aplicación, podras pensar positivamente sobre situaciones aterradoras en tu vida."
13,Scenario 5,After,After 5 scenarios in session 13,"The more you immerse yourself in the story, the more likely you are to benefit from our program – really picture yourself in the situation at hand.","Cuanto más te sumerjas en la historia, más probabilidades tendrás de beneficiarte de nuestro programa; imagínate realmente en la situación actual."
15,Scenario 5,After,After 5 scenarios in session 15,"Sometimes, situations aren't just good or bad. Neutral situations remind us that it's okay to embrace the grey zone!","A veces, las situaciones no son sólo buenas o malas. ¡Las situaciones neutrales nos recuerdan que está bien abrazar la zona gris!"
16,Scenario 5,After,After 5 scenarios in session 16,These stories are designed to mirror everyday situations you may face. Picture yourself in these situations and consider how you can apply these thoughts to your daily life!,Estas historias están diseñadas para reflejar situaciones cotidianas que puedas enfrentar. ¡Imagínate en estas situaciones y considere cómo puedes aplicar estos pensamientos a tu vida diaria!
17,Scenario 5,After,After 5 scenarios in session 17,Every small shift in perspective leads to bigger changes over time. Keep going—you're training your brain to think in more balanced and helpful ways!,Cada pequeño cambio de perspectiva conduce a cambios mayores con el tiempo. Continúe: ¡estás entrenando tu cerebro para pensar de manera más equilibrada y útil!
18,Scenario 5,After,After 5 scenarios in session 18,"Just like a muscle, your brain strengthens the pathways it uses the most. That's why practicing lots of situations helps you change your thinking habits. ","Al igual que un músculo, tu cerebro fortalece las vías que más utiliza. Por eso practicar muchas situaciones te ayuda a cambiar tus hábitos de pensamiento."
19,Scenario 5,After,After 5 scenarios in session 19,"MindTrails provides you with the courage to face uncertain situations, giving you the confidence to approach them in real life. ","MindTrails te brinda el coraje para enfrentar situaciones inciertas, brindándote la confianza para abordarlas en la vida real."
20,Scenario 5,After,After 5 scenarios in session 20,"Remember, MindTrails not only changes your perspective about the situations you're reading here, but your perspective in real life! ","Recuerda, MindTrails no solo cambia tu perspectiva sobre las situaciones que estás leyendo aquí, ¡sino también tu perspectiva en la vida real!"
